X,tok,RF_PoStag,tree_PoStag,tok_2,f.s,tok_3,oed_check,oed_FALSE,oed_TRUE,oed_tt,oed_NNS,punct,tok.to.edit,pdf.page
4929,girt,VFIN.Full.3.Sg.Pres.Ind,JJ,girt,NA,girt,0,NA,girt,NA,NA,NA,girt,12
4930,is,FM,VBZ,is,NA,is,0,NA,is,NA,NA,NA,is,12
4931,often,FM,RB,often,often,often,0,NA,often,NA,NA,NA,often,12
4932,pronounced,FM,JJ,pronounced,NA,pronounced,0,NA,pronounced,NA,NA,NA,pronounced,12
4933,gal,FM,NN,gal,NA,gal,0,NA,gal,NA,NA,NA,gal,12
4934,.,SYM.Pun.Sent,SENT,.,NA,.,0,NA,.,NA,NA,.,.,12
4935,It,FM,PP,It,NA,It,0,NA,It,NA,NA,NA,It,12
4936,is,FM,VBZ,is,NA,is,0,NA,is,NA,NA,NA,is,12
4937,l6ſt,N.Reg.Acc.Sg.Neut,JJ,l6st,NA,l6st,1,l6st,NA,NA,NA,NA,NA,12
4938,in,APPR.In,IN,in,NA,in,0,NA,in,NA,NA,NA,in,12
4939,Mrief,N.Reg.Acc.Sg.Masc,NP,Mrief,Mrief,Mrief,1,Mrief,NA,NA,NA,NA,.,12
4940,cbief,VFIN.Full.3.Sg.Past.Ind,NN,cbief,cbief,cbief,1,cbief,NA,NA,NA,NA,NA,12
4941,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",12
4942,raiſt,N.Reg.Nom.Sg.Fem,NP,raist,NA,raist,1,raist,NA,NA,NA,NA,.,12
4943,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",12
4944,praiſe,N.Reg.Nom.Sg.Fem,NN,praise,NA,praise,0,NA,praise,NA,NA,NA,praise,12
4945,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",12
4946,&,FM,CC,&,NA,&,0,NA,&,NA,NA,NA,&,12
4947,c,FM,LS,c,NA,c,0,NA,c,NA,NA,NA,c,12
4948,.,SYM.Pun.Sent,SENT,.,NA,.,0,NA,.,NA,NA,.,.,12
4949,and,FM,CC,and,NA,and,0,NA,and,NA,NA,NA,and,12
4950,many,FM,JJ,many,NA,many,0,NA,many,NA,NA,NA,many,12
4951,more,FM,JJR,more,NA,more,0,NA,more,NA,NA,NA,more,12
4952,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",12
4953,as,ADV,RB,as,NA,as,0,NA,as,NA,NA,NA,as,12
4954,will,VFIN.Mod.3.Sg.Pres.Ind,MD,will,NA,will,0,NA,will,NA,NA,NA,will,12
4955,be,FM,VB,be,NA,be,0,NA,be,NA,NA,NA,be,12
4956,ieen,FM,VVN,ieen,NA,ieen,1,ieen,NA,NA,NA,NA,.,12
4957,afterwards,FM,RB,afterwards,afterwards,afterwards,0,NA,afterwards,NA,NA,NA,afterwards,12
4958,in,FM,IN,in,NA,in,0,NA,in,NA,NA,NA,in,12
4959,treating,FM,VVG,treating,NA,treating,0,NA,treating,NA,NA,NA,treating,12
4960,of,FM,IN,of,of,of,0,NA,of,NA,NA,NA,of,12
4961,:,SYM.Pun.Colon,:,:,NA,:,0,NA,:,NA,NA,:,:,12
4962,redundant,ADJD.Pos,JJ,redundant,NA,redundant,0,NA,redundant,NA,NA,NA,redundant,12
4963,.,SYM.Pun.Sent,SENT,.,NA,.,0,NA,.,NA,NA,.,.,12
4964,It,N.Reg.Nom.Sg.Masc,PP,It,NA,It,0,NA,It,NA,NA,NA,It,12
4965,is,FM,VBZ,is,NA,is,0,NA,is,NA,NA,NA,is,12
4966,imothered,FM,JJ,imothered,NA,imothered,1,imothered,NA,NA,NA,NA,.,12
4967,in,APPR.In,IN,in,NA,in,0,NA,in,NA,NA,NA,in,12
4968,veniſön,N.Reg.Dat.Sg.Fem,NN,venisön,NA,venisön,0,NA,venisön,NA,NA,NA,venisön,12
4969,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",12
4970,dufugſi,FM,NP,dufugsi,dufugsi,dufugsi,1,dufugsi,NA,NA,NA,NA,su,12
4971,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",12
4972,erdinay,FM,NP,erdinay,NA,erdinay,1,erdinay,NA,NA,NA,NA,.,12
4973,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",12
4974,cbariet,FM,NN,cbariet,NA,cbariet,1,cbariet,NA,NA,NA,NA,.,12
4975,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",12
4976,medieine,FM,NN,medieine,NA,medieine,1,medieine,NA,NA,NA,NA,NA,12
4977,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",12
4978,regiment,FM,NN,regiment,NA,regiment,0,NA,regiment,NA,NA,NA,regiment,12
4979,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",12
4980,&,FM,CC,&,NA,&,0,NA,&,NA,NA,NA,&,12
4981,ec,FM,NP,ec,NA,ec,0,NA,ec,NA,NA,NA,ec,12
4982,.,SYM.Pun.Sent,SENT,.,NA,.,0,NA,.,NA,NA,.,.,12
4983,This,FM,DT,This,NA,This,0,NA,This,NA,NA,NA,This,12
4984,is,FM,VBZ,is,NA,is,0,NA,is,NA,NA,NA,is,12
4985,the,FM,DT,the,NA,the,0,NA,the,NA,NA,NA,the,12
4986,jota,FM,NN,jota,NA,jota,0,NA,jota,NA,NA,NA,jota,12
4987,lo,FM,NN,lo,NA,lo,0,NA,lo,NA,NA,NA,lo,12
4988,much,ADV,RB,much,NA,much,0,NA,much,NA,NA,NA,much,12
4989,ufed,FM,VVN,ufed,ufed,ufed,1,ufed,NA,NA,NA,NA,.,12
4990,in,FM,IN,in,NA,in,0,NA,in,NA,NA,NA,in,12
4991,moſt,FM,NN,most,NA,most,0,NA,most,NA,NA,NA,most,12
4992,of,FM,IN,of,of,of,0,NA,of,NA,NA,NA,of,12
4993,the,FM,DT,the,NA,the,0,NA,the,NA,NA,NA,the,12
4994,modern,ADJD.Pos,JJ,modern,NA,modern,0,NA,modern,NA,NA,NA,modern,12
4995,Languages,N.Reg.Gen.Sg.Masc,NNS,Languages,NA,Languages,0,NA,Languages,NA,NA,NA,Languages,12
4996,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",12
4997,and,FM,CC,and,NA,and,0,NA,and,NA,NA,NA,and,12
4998,is,FM,VBZ,is,NA,is,0,NA,is,NA,NA,NA,is,12
4999,very,ADV,RB,very,NA,very,0,NA,very,NA,NA,NA,very,12
5000,properly,FM,RB,properly,NA,properly,0,NA,properly,NA,NA,NA,properly,12
5001,ſo,FM,NN,so,NA,so,0,NA,so,NA,NA,NA,so,12
5002,called,FM,VVD,called,NA,called,0,NA,called,NA,NA,NA,called,12
5003,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",12
5004,having,FM,VHG,having,NA,having,0,NA,having,NA,NA,NA,having,12
5005,a,FM,DT,a,NA,a,0,NA,a,NA,NA,NA,a,12
5006,tail,FM,NN,tail,NA,tail,0,NA,tail,NA,NA,NA,tail,12
5007,joined,FM,VVD,joined,NA,joined,0,NA,joined,NA,NA,NA,joined,12
5008,to,FM,TO,to,NA,to,0,NA,to,NA,NA,NA,to,12
5009,the,FM,DT,the,NA,the,0,NA,the,NA,NA,NA,the,12
5010,imall,FM,NN,imall,NA,imall,1,imall,NA,NA,NA,NA,ll,12
5011,i,PRO.Pers.Subst.1.Nom.Sg.*,NN,i,NA,i,0,NA,i,NA,NA,NA,i,12
5012,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",12
5013,and,FM,CC,and,NA,and,0,NA,and,NA,NA,NA,and,12
5014,a,FM,DT,a,NA,a,0,NA,a,NA,NA,NA,a,12
5015,jot,FM,NN,jot,NA,jot,0,NA,jot,NA,NA,NA,jot,12
5016,or,FM,CC,or,NA,or,0,NA,or,NA,NA,NA,or,12
5017,dot,FM,VVP,dot,NA,dot,0,NA,dot,NA,NA,NA,dot,12
5018,over,FM,IN,over,NA,over,0,NA,over,NA,NA,NA,over,12
5019,it,FM,PP,it,NA,it,0,NA,it,NA,NA,NA,it,12
5020,.,SYM.Pun.Sent,SENT,.,NA,.,0,NA,.,NA,NA,.,.,12
5021,It,FM,PP,It,NA,It,0,NA,It,NA,NA,NA,It,12
5022,differs,FM,VVZ,differs,differs,differs,1,differs,NA,NA,NA,NA,.,12
5023,very,ADV,RB,very,NA,very,0,NA,very,NA,NA,NA,very,12
5024,much,ADV,RB,much,NA,much,0,NA,much,NA,NA,NA,much,12
5025,in,APPR.In,IN,in,NA,in,0,NA,in,NA,NA,NA,in,12
5026,Sound,FM,NN,Sound,NA,Sound,0,NA,Sound,NA,NA,NA,Sound,12
5027,from,FM,IN,from,from,from,0,NA,from,NA,NA,NA,from,12
5028,the,FM,DT,the,NA,the,0,NA,the,NA,NA,NA,the,12
5029,aforegoing,FM,JJ,aforegoing,aforegoing,aforegoing,0,NA,aforegoing,NA,NA,NA,aforegoing,12
5030,Vowel,FM,NN,Vowel,NA,Vowel,0,NA,Vowel,NA,NA,NA,Vowel,12
5031,i,PRO.Pers.Subst.1.Nom.Sg.*,NNS,i,NA,i,0,NA,i,NA,NA,NA,i,12
5032,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",12
5033,and,FM,CC,and,NA,and,0,NA,and,NA,NA,NA,and,12
5034,therefore,FM,RB,therefore,therefore,therefore,0,NA,therefore,NA,NA,NA,therefore,12
5035,it,FM,PP,it,NA,it,0,NA,it,NA,NA,NA,it,12
5036,is,FM,VBZ,is,NA,is,0,NA,is,NA,NA,NA,is,12
5037,an,APPR.An,DT,an,NA,an,0,NA,an,NA,NA,NA,an,12
5038,unpardonable,FM,JJ,unpardonable,NA,unpardonable,0,NA,unpardonable,NA,NA,NA,unpardonable,12
5039,Fault,VFIN.Full.3.Sg.Pres.Ind,NP,Fault,NA,Fault,0,NA,Fault,NA,NA,NA,Fault,12
5040,to,FM,TO,to,NA,to,0,NA,to,NA,NA,NA,to,12
5041,pronounce,FM,VV,pronounce,NA,pronounce,0,NA,pronounce,NA,NA,NA,pronounce,12
5042,it,FM,PP,it,NA,it,0,NA,it,NA,NA,NA,it,12
5043,i,PRO.Pers.Subst.1.Nom.Sg.*,NP,i,NA,i,0,NA,i,NA,NA,NA,i,12
5044,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",12
5045,inſtead,FM,NN,instead,NA,instead,0,NA,instead,NA,NA,NA,instead,12
5046,of,FM,IN,of,of,of,0,NA,of,NA,NA,NA,of,12
5047,j,FM,NN,j,NA,j,0,NA,j,NA,NA,NA,j,12
5048,or,FM,CC,or,NA,or,0,NA,or,NA,NA,NA,or,12
5049,jay,FM,NN,jay,NA,jay,0,NA,jay,NA,NA,NA,jay,12
5050,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",12
5051,which,VFIN.Full.3.Sg.Past.Ind,WDT,which,NA,which,0,NA,which,NA,NA,NA,which,12
5052,too,ADV,RB,too,NA,too,0,NA,too,NA,NA,NA,too,12
5053,many,FM,JJ,many,NA,many,0,NA,many,NA,NA,NA,many,12
5054,of,FM,IN,of,of,of,0,NA,of,NA,NA,NA,of,12
5055,dur,FM,NN,dur,NA,dur,1,dur,NA,NA,NA,NA,.,12
5056,Nemen,N.Name.Nom.Sg.Neut,NP,Nemen,NA,Nemen,1,Nemen,NA,NA,NA,NA,.,12
5057,Teacher,N.Name.Nom.Sg.*,NP,Teacher,NA,Teacher,0,NA,Teacher,NA,NA,NA,Teacher,12
5058,are,FM,VBP,are,NA,are,0,NA,are,NA,NA,NA,are,12
5059,apt,FM,JJ,apt,NA,apt,0,NA,apt,NA,NA,NA,apt,12
5060,io,FM,NNS,io,NA,io,0,NA,io,NA,NA,NA,io,12
5061,do,FM,VVP,do,NA,do,0,NA,do,NA,NA,NA,do,12
5062,in,APPR.In,IN,in,NA,in,0,NA,in,NA,NA,NA,in,12
5063,eheit,N.Reg.Dat.Sg.Fem,NN,eheit,NA,eheit,1,eheit,NA,NA,NA,NA,NA,12
5064,(,SYM.Paren.Left,(,(,NA,(,0,NA,(,NA,NA,NA,(,12
5065,peilleg,FM,NN,peilleg,NA,peilleg,1,peilleg,NA,NA,NA,NA,ll,12
5066,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",12
5067,for,FM,IN,for,for,for,0,NA,for,NA,NA,NA,for,12
5068,A,SYM.Other.XY,DT,A,NA,A,0,NA,A,NA,NA,NA,A,13
5069,Complete,N.Name.Dat.Sg.Fem,JJ,Complete,NA,Complete,0,NA,Complete,NA,NA,NA,Complete,13
5070,ENGLIsn,N.Name.*.*.*,NP,ENGLIsn,NA,ENGLIsn,1,ENGLIsn,NA,NA,NA,NA,.,13
5071,GRAMMAR,N.Name.Nom.Sg.Neut,NN,GRAMMAR,NA,GRAMMAR,0,NA,GRAMMAR,NA,NA,NA,GRAMMAR,13
5072,.,SYM.Pun.Sent,SENT,.,NA,.,0,NA,.,NA,NA,.,.,13
5073,12,CARD,CD,12,NA,12,1,12,NA,NA,NA,NA,.,13
5074,for,FM,IN,for,for,for,0,NA,for,NA,NA,NA,for,13
5075,its,FM,PP$,its,NA,its,0,NA,its,NA,NA,NA,its,13
5076,true,FM,JJ,true,NA,true,0,NA,true,NA,NA,NA,true,13
5077,and,FM,CC,and,NA,and,0,NA,and,NA,NA,NA,and,13
5078,genuine,ADJA.Pos.Acc.Pl.Fem,JJ,genuine,NA,genuine,0,NA,genuine,NA,NA,NA,genuine,13
5079,Sound,FM,NN,Sound,NA,Sound,0,NA,Sound,NA,NA,NA,Sound,13
5080,is,FM,VBZ,is,NA,is,0,NA,is,NA,NA,NA,is,13
5081,a,FM,DT,a,NA,a,0,NA,a,NA,NA,NA,a,13
5082,Compound,FM,NN,Compound,NA,Compound,0,NA,Compound,NA,NA,NA,Compound,13
5083,of,FM,IN,of,of,of,0,NA,of,NA,NA,NA,of,13
5084,d,N.Name.*.*.*,NN,d,NA,d,0,NA,d,NA,NA,NA,d,13
5085,and,N.Name.*.*.*,CC,and,NA,and,0,NA,and,NA,NA,NA,and,13
5086,y,N.Name.*.*.*,NN,y,NA,y,0,NA,y,NA,NA,NA,y,13
5087,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",13
5088,as,ADV,IN,as,NA,as,0,NA,as,NA,NA,NA,as,13
5089,chentle,FM,NN,chentle,NA,chentle,1,chentle,NA,NA,NA,NA,NA,13
5090,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",13
5091,for,FM,IN,for,for,for,0,NA,for,NA,NA,NA,for,13
5092,gentle,FM,JJ,gentle,NA,gentle,0,NA,gentle,NA,NA,NA,gentle,13
5093,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",13
5094,and,FM,CC,and,NA,and,0,NA,and,NA,NA,NA,and,13
5095,lodying,FM,VVG,lodying,NA,lodying,1,lodying,NA,NA,NA,NA,.,13
5096,for,FM,IN,for,for,for,0,NA,for,NA,NA,NA,for,13
5097,lodging,FM,NN,lodging,NA,lodging,0,NA,lodging,NA,NA,NA,lodging,13
5098,.,SYM.Pun.Sent,SENT,.,NA,.,0,NA,.,NA,NA,.,.,13
5099,Its,FM,PP$,Its,NA,Its,0,NA,Its,NA,NA,NA,Its,13
5100,Uie,FM,NN,Uie,NA,Uie,1,Uie,NA,NA,NA,NA,.,13
5101,is,FM,VBZ,is,NA,is,0,NA,is,NA,NA,NA,is,13
5102,to,FM,TO,to,NA,to,0,NA,to,NA,NA,NA,to,13
5103,foften,FM,VV,foften,foften,foften,1,foften,NA,NA,NA,NA,NA,13
5104,the,FM,DT,the,NA,the,0,NA,the,NA,NA,NA,the,13
5105,Sound,FM,NN,Sound,NA,Sound,0,NA,Sound,NA,NA,NA,Sound,13
5106,of,FM,IN,of,of,of,0,NA,of,NA,NA,NA,of,13
5107,g,N.Reg.*.*.*,NN,g,NA,g,0,NA,g,NA,NA,NA,g,13
5108,before,FM,IN,before,before,before,0,NA,before,NA,NA,NA,before,13
5109,any,FM,DT,any,NA,any,0,NA,any,NA,NA,NA,any,13
5110,of,FM,IN,of,of,of,0,NA,of,NA,NA,NA,of,13
5111,the,FM,DT,the,NA,the,0,NA,the,NA,NA,NA,the,13
5112,five,FM,CD,five,five,five,0,NA,five,NA,NA,NA,five,13
5113,Vowels,FM,NP,Vowels,NA,Vowels,0,NA,Vowels,NA,NA,NA,Vowels,13
5114,a,FM,DT,a,NA,a,0,NA,a,NA,NA,NA,a,13
5115,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",13
5116,e,FM,NP,e,NA,e,0,NA,e,NA,NA,NA,e,13
5117,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",13
5118,i,PRO.Pers.Subst.1.Nom.Sg.*,NP,i,NA,i,0,NA,i,NA,NA,NA,i,13
5119,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",13
5120,o,FM,NN,o,NA,o,0,NA,o,NA,NA,NA,o,13
5121,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",13
5122,u,N.Name.Nom.Sg.Neut,NN,u,NA,u,0,NA,u,NA,NA,NA,u,13
5123,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",13
5124,as,ADV,IN,as,NA,as,0,NA,as,NA,NA,NA,as,13
5125,James,N.Name.Nom.Sg.Masc,NP,James,NA,James,0,NA,James,NA,NA,NA,James,13
5126,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",13
5127,Jeſus,N.Reg.Nom.Sg.Neut,NP,Jesus,NA,Jesus,0,NA,Jesus,NA,NA,NA,Jesus,13
5128,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",13
5129,Jilt,N.Reg.Nom.Sg.Masc,NN,Jilt,NA,Jilt,0,NA,Jilt,NA,NA,NA,Jilt,13
5130,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",13
5131,Joſeph,N.Reg.Nom.Sg.Masc,NP,Joseph,NA,Joseph,0,NA,Joseph,NA,NA,NA,Joseph,13
5132,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",13
5133,Jude,N.Reg.Nom.Sg.Masc,NP,Jude,NA,Jude,1,Jude,NA,NA,NA,NA,.,13
5134,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",13
5135,which,VFIN.Full.3.Sg.Past.Ind,WDT,which,NA,which,0,NA,which,NA,NA,NA,which,13
5136,otherwiſe,N.Reg.*.Sg.Fem,JJ,otherwise,NA,otherwise,0,NA,otherwise,NA,NA,NA,otherwise,13
5137,wouid,FM,NN,wouid,NA,wouid,1,wouid,NA,NA,NA,NA,.,13
5138,be,FM,VB,be,NA,be,0,NA,be,NA,NA,NA,be,13
5139,Games,FM,NP,Games,NA,Games,0,NA,Games,NA,NA,NA,Games,13
5140,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",13
5141,Geſus,N.Reg.Acc.Pl.Masc,NP,Gesus,NA,Gesus,1,Gesus,NA,NA,NA,NA,.,13
5142,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",13
5143,Gil,N.Name.Nom.Sg.Masc,NP,Gil,NA,Gil,1,Gil,NA,NA,NA,NA,.,13
5144,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",13
5145,Goſepb,N.Reg.Nom.Sg.Masc,NP,Gosepb,NA,Gosepb,1,Gosepb,NA,NA,NA,NA,.,13
5146,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",13
5147,Gude,N.Reg.Nom.Sg.Masc,NP,Gude,NA,Gude,1,Gude,NA,NA,NA,NA,.,13
5148,.,SYM.Pun.Sent,SENT,.,NA,.,0,NA,.,NA,NA,.,.,13
5149,It,N.Reg.Nom.Sg.Masc,PP,It,NA,It,0,NA,It,NA,NA,NA,It,13
5150,always,FM,RB,always,NA,always,0,NA,always,NA,NA,NA,always,13
5151,begins,FM,VVZ,begins,NA,begins,0,NA,begins,NA,NA,NA,begins,13
5152,a,FM,DT,a,NA,a,0,NA,a,NA,NA,NA,a,13
5153,Syllable,FM,NN,Syllable,NA,Syllable,0,NA,Syllable,NA,NA,NA,Syllable,13
5154,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",13
5155,and,FM,CC,and,NA,and,0,NA,and,NA,NA,NA,and,13
5156,is,FM,VBZ,is,NA,is,0,NA,is,NA,NA,NA,is,13
5157,conſtantly,FM,RB,constantly,NA,constantly,0,NA,constantly,NA,NA,NA,constantly,13
5158,placed,FM,VVN,placed,NA,placed,0,NA,placed,NA,NA,NA,placed,13
5159,before,FM,IN,before,before,before,0,NA,before,NA,NA,NA,before,13
5160,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",13
5161,but,CONJ.Coord.-,CC,but,NA,but,0,NA,but,NA,NA,NA,but,13
5162,never,FM,RB,never,NA,never,0,NA,never,NA,NA,NA,never,13
5163,after,FM,IN,after,after,after,0,NA,after,NA,NA,NA,after,13
5164,a,FM,DT,a,NA,a,0,NA,a,NA,NA,NA,a,13
5165,Vowel,FM,NN,Vowel,NA,Vowel,0,NA,Vowel,NA,NA,NA,Vowel,13
5166,.,SYM.Pun.Sent,SENT,.,NA,.,0,NA,.,NA,NA,.,.,13
5167,It,FM,PP,It,NA,It,0,NA,It,NA,NA,NA,It,13
5168,has,FM,VHZ,has,NA,has,0,NA,has,NA,NA,NA,has,13
5169,an,APPR.An,DT,an,NA,an,0,NA,an,NA,NA,NA,an,13
5170,unvaried,FM,JJ,unvaried,NA,unvaried,0,NA,unvaried,NA,NA,NA,unvaried,13
5171,Sound,FM,NN,Sound,NA,Sound,0,NA,Sound,NA,NA,NA,Sound,13
5172,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",13
5173,being,FM,VBG,being,NA,being,0,NA,being,NA,NA,NA,being,13
5174,pronounced,FM,VVN,pronounced,NA,pronounced,0,NA,pronounced,NA,NA,NA,pronounced,13
5175,every,FM,DT,every,NA,every,0,NA,every,NA,NA,NA,every,13
5176,where,FM,WRB,where,NA,where,0,NA,where,NA,NA,NA,where,13
5177,like,FM,JJ,like,NA,like,0,NA,like,NA,NA,NA,like,13
5178,ſoft,N.Name.*.*.*,NN,soft,soft,soft,0,NA,soft,NA,NA,NA,soft,13
5179,g,N.Reg.*.*.*,NN,g,NA,g,0,NA,g,NA,NA,NA,g,13
5180,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",13
5181,as,ADV,RB,as,NA,as,0,NA,as,NA,NA,NA,as,13
5182,hath,FM,VHZ,hath,NA,hath,1,hath,NA,NA,NA,NA,.,13
5183,been,FM,VBN,been,NA,been,0,NA,been,NA,NA,NA,been,13
5184,faid,FM,JJ,faid,faid,faid,1,faid,NA,NA,NA,NA,.,13
5185,;,SYM.Pun.Sent,:,;,NA,;,0,NA,;,NA,NA,;,;,13
5186,but,CONJ.Coord.-,CC,but,NA,but,0,NA,but,NA,NA,NA,but,13
5187,when,ADJA.Pos.*.Sg.Fem,WRB,when,NA,when,0,NA,when,NA,NA,NA,when,13
5188,g,N.Reg.*.*.*,NN,g,NA,g,0,NA,g,NA,NA,NA,g,13
5189,is,FM,VBZ,is,NA,is,0,NA,is,NA,NA,NA,is,13
5190,ſounded,FM,JJ,sounded,NA,sounded,0,NA,sounded,NA,NA,NA,sounded,13
5191,ſoft,FM,NN,soft,soft,soft,0,NA,soft,NA,NA,NA,soft,13
5192,at,FM,IN,at,NA,at,0,NA,at,NA,NA,NA,at,13
5193,the,FM,DT,the,NA,the,0,NA,the,NA,NA,NA,the,13
5194,End,N.Name.*.*.*,NN,End,NA,End,0,NA,End,NA,NA,NA,End,13
5195,of,FM,IN,of,of,of,0,NA,of,NA,NA,NA,of,13
5196,a,FM,DT,a,NA,a,0,NA,a,NA,NA,NA,a,13
5197,Word,FM,NP,Word,NA,Word,0,NA,Word,NA,NA,NA,Word,13
5198,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",13
5199,it,FM,PP,it,NA,it,0,NA,it,NA,NA,NA,it,13
5200,is,FM,VBZ,is,NA,is,0,NA,is,NA,NA,NA,is,13
5201,exprefled,FM,VVN,exprefled,exprefled,exprefled,1,exprefled,NA,NA,NA,NA,.,13
5202,by,FM,IN,by,NA,by,0,NA,by,NA,NA,NA,by,13
5203,g,N.Reg.*.*.*,NN,g,NA,g,0,NA,g,NA,NA,NA,g,13
5204,followed,FM,VVN,followed,followed,followed,0,NA,followed,NA,NA,NA,followed,13
5205,by,FM,IN,by,NA,by,0,NA,by,NA,NA,NA,by,13
5206,filent,FM,NN,filent,filent,filent,1,filent,NA,NA,NA,NA,silent,13
5207,e,FM,NN,e,NA,e,0,NA,e,NA,NA,NA,e,13
5208,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",13
5209,as,ADV,IN,as,NA,as,0,NA,as,NA,NA,NA,as,13
5210,rage,VFIN.Full.1.Sg.Pres.Ind,NN,rage,NA,rage,0,NA,rage,NA,NA,NA,rage,13
5211,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",13
5212,ſage,N.Reg.Acc.Sg.Fem,NN,sage,NA,sage,0,NA,sage,NA,NA,NA,sage,13
5213,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",13
5214,wage,VFIN.Full.1.Sg.Pres.Ind,NN,wage,NA,wage,0,NA,wage,NA,NA,NA,wage,13
5215,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",13
5216,and,N.Name.*.*.*,CC,and,NA,and,0,NA,and,NA,NA,NA,and,13
5217,at,N.Name.*.*.*,IN,at,NA,at,0,NA,at,NA,NA,NA,at,13
5218,the,N.Name.*.*.*,DT,the,NA,the,0,NA,the,NA,NA,NA,the,13
5219,End,N.Name.*.*.*,NN,End,NA,End,0,NA,End,NA,NA,NA,End,13
5220,of,N.Name.*.*.*,IN,of,of,of,0,NA,of,NA,NA,NA,of,13
5221,ſome,N.Reg.*.*.*,NN,some,NA,some,0,NA,some,NA,NA,NA,some,13
5222,Words,FM,NNS,Words,NA,Words,0,NA,Words,NA,NA,NA,Words,13
5223,by,FM,IN,by,NA,by,0,NA,by,NA,NA,NA,by,13
5224,dge,FM,NN,dge,NA,dge,1,dge,NA,NA,NA,NA,.,13
5225,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",13
5226,as,ADV,IN,as,NA,as,0,NA,as,NA,NA,NA,as,13
5227,knoledge,VFIN.Full.3.Sg.Pres.Subj,NN,knoledge,NA,knoledge,1,knoledge,NA,NA,NA,NA,.,13
5228,",",SYM.Pun.Comma,",",",",NA,",",0,NA,",",NA,NA,",",",",13
5229,&,FM,CC,&,NA,&,0,NA,&,NA,NA,NA,&,13
5230,c,FM,LS,c,NA,c,0,NA,c,NA,NA,NA,c,13
5231,.,SYM.Pun.Sent,SENT,.,NA,.,0,NA,.,NA,NA,.,.,13
5232,Many,FM,JJ,Many,NA,Many,0,NA,Many,NA,NA,NA,Many,13
5233,Words,FM,NNS,Words,NA,Words,0,NA,Words,NA,NA,NA,Words,13
